Date,Cost,Category,Details,Tips,Out,In,Surp,Subtotal
,,,,,-65710.41,57064,-8646.41,
2015/1/9,-100,固定支出,话费,2015/1/31,-3815.6,2816,-999.6,
2015/1/9,-500,现金,成都银行取钱,,,,,
2015/1/9,-2,其他,动车退票,,,,,
2015/1/12,-10,娱乐,彩票,,,,,
2015/1/12,-3.8,餐饮,酸奶,,,,,
2015/1/12,-149,生活用品,优衣库,,,,,
2015/1/12,-90,餐饮,星巴克,,,,,
2015/1/12,-246,购物,超市购物,,,,,
2015/1/12,-101,餐饮,一风堂,,,,,
2015/1/13,-78,生活用品,优衣库袜子,,,,,
2015/1/13,-150,购物,薯条,,,,,
2015/1/13,-850,购物,剑桥包,,,,,
2015/1/13,-260,购物,moleskin周记本,,,,,
2015/1/13,-37.6,电子类,iPod贴纸*2,,,,,
2015/1/19,-10,娱乐,彩票,,,,,
2015/1/20,-164.3,餐饮,一号店泡面面包奶粉,,,,,
2015/1/22,-6,娱乐,足彩,,,,,
2015/1/23,-500,现金,支付宝取现,,,,,
2015/1/23,-40,娱乐,彩票,,,,,
2015/1/23,-40,固定支出,动车33 错买退票7,只能往前一天或者当天改，不能往后改,,,,
2015/1/26,-79,餐饮,花里寿司,一般,,,,
2015/1/26,-53.1,餐饮,伊藤超市食品,饭团和猪尾巴，三文鱼,,,,
2015/1/26,-39.8,娱乐,世豪广场电影,五军之战霍比特人，不错,,,,
2015/1/26,-12,娱乐,彩票,,,,,
2015/1/26,-300,现金,工资取现,坚持用到下月10号,,,,
2015/1/26,-26,娱乐,彩票,,,,,
2015/1/26,-28,娱乐,彩票,8篮彩,,,,
2015/1/28,60,娱乐,足彩赢,共-60,,,,
2015/2/1,-462,其他,生日礼物,乐高建筑系列 罗马许愿池,-3343.1,7382,4038.9,
2015/2/11,-70,娱乐,电影,,,,,
2015/2/11,-36.6,电子类,耳塞c套,,,,,
2015/2/11,-500,现金,取钱,,,,,
2015/2/16,-600,现金,支付宝取现,,,,,
2015/2/16,-6,餐饮,酸奶,,,,,
2015/2/28,-200,现金,认证费,28日支出均为春节假日期间支出,,,,
2015/2/28,-60,现金,KFC,,,,,
2015/2/28,-135,餐饮,必胜客团购,,,,,
2015/2/28,-248.5,固定支出,话费,0802 100 0801 150,,,,
2015/2/28,-300,娱乐,开心麻花舞台剧,,,,,
2015/2/28,-260,现金,支付宝取现,,,,,
2015/2/28,-80,餐饮,大众点评团购,,,,,
2015/2/28,-385,其他,学位认证费,,,,,
2015/3/2,-700,现金,压岁钱,,-4027.5,4777,749.5,
2015/3/10,-600,其他,结婚,,,,,
2015/3/10,-43,餐饮,KFC,,,,,
2015/3/10,-19,电子类,电脑清理产品,,,,,
2015/3/10,-43,餐饮,KFC,,,,,
2015/3/16,-15,娱乐,dota2护符,,,,,
2015/3/16,-48,餐饮,KFC,,,,,
2015/3/17,-18,固定支出,快的打车,,,,,
2015/3/17,-500,现金,光大,,,,,
2015/3/17,-143.2,餐饮,1号店,,,,,
2015/3/23,-3.3,餐饮,酸奶,,,,,
2015/3/23,-1200,其他,转账,,,,,
2015/3/23,-76,餐饮,大众点评,一个鱼，味道一般,,,,
2015/3/23,-56,餐饮,KFC,,,,,
2015/3/30,-237,购物,优衣库,三件79短袖，自己一件,,,,
2015/3/30,-205,餐饮,五斗柴火锅,略贵，两个人吃的,,,,
2015/3/31,-42,娱乐,电影,王牌特工,,,,
